name,display_name,journal_id,abbrev_flag
公益,公益,JOURNAL-XCBD8E,1
公証,公証,JOURNAL-3DNBH6,0
公証法学,公証法,JOURNAL-N2L4DX,0
公証法,公証法,JOURNAL-N2L4DX,1
刑事裁判月報,刑月,JOURNAL-MZ5PGA,0
刑月,刑月,JOURNAL-MZ5PGA,1
刑事裁判資料,刑資,JOURNAL-RSPNPG,0
刑資,刑資,JOURNAL-RSPNPG,1
刑政,刑政,JOURNAL-WEYS7J,0
刑法雑誌,刑法,JOURNAL-XRGLK4,0
刑法,刑法,JOURNAL-XRGLK4,1
判例セレクト,セレクト,JOURNAL-70ZH08,0
セレクト,セレクト,JOURNAL-70ZH08,1
判例タイムズ,判タ,JOURNAL-6GQMX4,0
判タ,判タ,JOURNAL-6GQMX4,1
判例体系,体系,JOURNAL-PE751V,0
体系,体系,JOURNAL-PE751V,1
判例地方自治,判自,JOURNAL-K59AGI,0
判自,判自,JOURNAL-K59AGI,1
判例自治,判自,JOURNAL-K59AGI,1
地方自治,判自,JOURNAL-K59AGI,1
判例工業所有権法,判工,JOURNAL-970JUV,0
判工,判工,JOURNAL-970JUV,1
判例工業所有権法第2期版,判工第2期版,JOURNAL-0BB1UN,0
判例工業所有権法2期版,判工第2期版,JOURNAL-0BB1UN,0
判例工業所有権法2期,判工第2期版,JOURNAL-0BB1UN,0
判例工業所有権法（第2期版）,判工第2期版,JOURNAL-0BB1UN,0
判例工業所有権法（2期版）,判工第2期版,JOURNAL-0BB1UN,0
判例工業所有権法（2期）,判工第2期版,JOURNAL-0BB1UN,0
判工第2期版,判工第2期版,JOURNAL-0BB1UN,1
判工2期版,判工第2期版,JOURNAL-0BB1UN,1
判工2期,判工第2期版,JOURNAL-0BB1UN,1
判工（第2期版）,判工第2期版,JOURNAL-0BB1UN,1
判工（2期版）,判工第2期版,JOURNAL-0BB1UN,1
判工（2期）,判工第2期版,JOURNAL-0BB1UN,1
判例時報,判時,JOURNAL-VE0C9D,0
判時,判時,JOURNAL-VE0C9D,1
判例時報臨時増刊,判時臨増,JOURNAL-0781DH,0
判例時報臨増,判時臨増,JOURNAL-0781DH,1
判時臨増,判時臨増,JOURNAL-0781DH,1
判例評論,判評,JOURNAL-V0NZZL,0
判評,判評,JOURNAL-V0NZZL,1
判例集未登載,判例集未登載,JOURNAL-TG29T3,0
判例集未掲載,判例集未登載,JOURNAL-TG29T3,0
中央労働時報,中労時報,JOURNAL-2M6646,0
中労時,中労時報,JOURNAL-2M6646,1
中労時報,中労時報,JOURNAL-2M6646,1
別冊中央労働時報,別冊中労時報,JOURNAL-4IV9GT,0
別冊中労時,別冊中労時報,JOURNAL-4IV9GT,1
別冊中労時報,別冊中労時報,JOURNAL-4IV9GT,1
労働法律旬報,労旬,JOURNAL-XWG956,0
労旬,労旬,JOURNAL-XWG956,1
別冊労働法律旬報,労旬別冊,JOURNAL-S4YJLL,0
労働法律旬報別冊,労旬別冊,JOURNAL-S4YJLL,0
労旬別冊,労旬別冊,JOURNAL-S4YJLL,1
労働保険審査会裁決集,労働保険審査会裁決集,JOURNAL-S9NVXW,0
労働判例カード,労判カード,JOURNAL-F73C7D,0
労判カード,労判カード,JOURNAL-F73C7D,1
労働判例,労判,JOURNAL-6I9I7L,0
労判,労判,JOURNAL-6I9I7L,1
労働判例ジャーナル,労ジャ,JOURNAL-J6QAJH,0
労判ジャーナル,労ジャ,JOURNAL-J6QAJH,1
ジャーナル,労ジャ,JOURNAL-J6QAJH,1
労ジャ,労ジャ,JOURNAL-J6QAJH,1
労判ジャ,労ジャ,JOURNAL-J6QAJH,1
労働委員会関係裁判例集,労働委員会関係裁判例集,JOURNAL-PFE5OZ,0
労働経済判例速報,労経速,JOURNAL-L5RONV,0
労経速,労経速,JOURNAL-L5RONV,1
労経速報,労経速,JOURNAL-L5RONV,1
労働関係刑事事件判例集,労刑決,JOURNAL-MPSMYG,0
労働関係刑事事件判決集,労刑決,JOURNAL-MPSMYG,0
労刑決,労刑決,JOURNAL-MPSMYG,1
労働関係刑事裁判資料,労裁刑資,JOURNAL-RXB1PB,0
労裁刑資,労裁刑資,JOURNAL-RXB1PB,1
労働関係民事事件裁判集,労裁集,JOURNAL-F7WT57,0
労裁,労裁集,JOURNAL-F7WT57,1
労裁集,労裁集,JOURNAL-F7WT57,1
労働関係民事行政裁判資料,労裁資,JOURNAL-D66ADV,0
労裁資,労裁資,JOURNAL-D66ADV,1
労働関係民事裁判例集,労民集,JOURNAL-LAF6WH,0
労民,労民集,JOURNAL-LAF6WH,1
労民集,労民集,JOURNAL-LAF6WH,1
医療過誤民事裁判例集,医療過誤民事裁判例集,JOURNAL-TPVVWP,0
受験新報,受新,JOURNAL-SG5QOT,0
受新,受新,JOURNAL-SG5QOT,1
司法研修所論集,司研,JOURNAL-YS44LW,0
司研,司研,JOURNAL-YS44LW,1
商事法務,商事法務,JOURNAL-CK9TIX,0
旬刊商事法務,商事法務,JOURNAL-CK9TIX,0
商事,商事法務,JOURNAL-CK9TIX,1
国税徴収関係判例集,国税例集,JOURNAL-X6DJ9N,0
国税例集,国税例集,JOURNAL-X6DJ9N,1
国立国会図書館月報,図月,JOURNAL-XKJLUE,0
図月,図月,JOURNAL-XKJLUE,1
国際商事法務,際商,JOURNAL-OHK3ZM,0
際商,際商,JOURNAL-OHK3ZM,1
国際政治,際政,JOURNAL-L9818K,0
際政,際政,JOURNAL-L9818K,1
国際法外交雑誌,国際,JOURNAL-WAWR88,0
国際,国際,JOURNAL-WAWR88,1
国際私法関係事件裁判例集,国際私法関係事件裁判例集,JOURNAL-MIIIK3,0
地方公務員人事判定集,地方公務員人事判定集,JOURNAL-P7YATD,0
地方自治職員研修,職研,JOURNAL-MHJB11,0
職研,職研,JOURNAL-MHJB11,1
外国の立法,外法,JOURNAL-NT0J4L,0
外法,外法,JOURNAL-NT0J4L,1
大審院刑事判決抄録,刑抄録,JOURNAL-VYK59G,0
刑抄録,刑抄録,JOURNAL-VYK59G,1
大審院刑事判決録,刑録,JOURNAL-QD4ARD,0
刑録,刑録,JOURNAL-QD4ARD,1
大審院判決全集,判決全集,JOURNAL-XZACLI,0
判決全集,判決全集,JOURNAL-XZACLI,1
大審院民事判決抄録,民抄録,JOURNAL-HC25PW,0
民抄録,民抄録,JOURNAL-HC25PW,1
大審院民事判決録,民録,JOURNAL-G67687,0
民録,民録,JOURNAL-G67687,1
大審院裁判例,大審院裁判例,JOURNAL-GZK2D8,0
